"CN","type","plat","TP"
"C_367","Solid tumor","Agilent","Solid tumor_Agilent"
"C_368","Solid tumor","Agilent","Solid tumor_Agilent"
"C_369","Solid tumor","Agilent","Solid tumor_Agilent"
"C_370","Solid tumor","Agilent","Solid tumor_Agilent"
"C_371","Solid tumor","Agilent","Solid tumor_Agilent"
"C_372","Solid tumor","Agilent","Solid tumor_Agilent"
"C_373","Solid tumor","Agilent","Solid tumor_Agilent"
"C_374","Solid tumor","Agilent","Solid tumor_Agilent"
"C_375","Solid tumor","Agilent","Solid tumor_Agilent"
"C_376","Solid tumor","Agilent","Solid tumor_Agilent"
"C_377","Solid tumor","Agilent","Solid tumor_Agilent"
"C_378","Solid tumor","Agilent","Solid tumor_Agilent"
"C_379","Solid tumor","Agilent","Solid tumor_Agilent"
"C_380","Solid tumor","Agilent","Solid tumor_Agilent"
"C_381","Solid tumor","Agilent","Solid tumor_Agilent"
"C_382","Solid tumor","Agilent","Solid tumor_Agilent"
"C_383","Solid tumor","Agilent","Solid tumor_Agilent"
"C_384","Solid tumor","Agilent","Solid tumor_Agilent"
"C_385","Solid tumor","Agilent","Solid tumor_Agilent"
"C_386","Solid tumor","Agilent","Solid tumor_Agilent"
"C_387","Solid tumor","Agilent","Solid tumor_Agilent"
"C_388","Solid tumor","Agilent","Solid tumor_Agilent"
"C_389","Solid tumor","Agilent","Solid tumor_Agilent"
"C_390","Solid tumor","Agilent","Solid tumor_Agilent"
"C_391","Solid tumor","Agilent","Solid tumor_Agilent"
"C_392","Solid tumor","Agilent","Solid tumor_Agilent"
"C_393","Solid tumor","Agilent","Solid tumor_Agilent"
"C_394","Solid tumor","Agilent","Solid tumor_Agilent"
"C_395","Solid tumor","Agilent","Solid tumor_Agilent"
"C_396","Solid tumor","Agilent","Solid tumor_Agilent"
"C_397","Solid tumor","Agilent","Solid tumor_Agilent"
"C_398","Solid tumor","Agilent","Solid tumor_Agilent"
"C_399","Solid tumor","Agilent","Solid tumor_Agilent"
"C_400","Solid tumor","Agilent","Solid tumor_Agilent"
"C_401","Solid tumor","Agilent","Solid tumor_Agilent"
"C_402","Solid tumor","Agilent","Solid tumor_Agilent"
"C_403","Solid tumor","Agilent","Solid tumor_Agilent"
"C_404","Solid tumor","Agilent","Solid tumor_Agilent"
"C_405","Solid tumor","Agilent","Solid tumor_Agilent"
"C_406","Solid tumor","Agilent","Solid tumor_Agilent"
"C_407","Solid tumor","Agilent","Solid tumor_Agilent"
"C_408","Solid tumor","Agilent","Solid tumor_Agilent"
"C_409","Solid tumor","Agilent","Solid tumor_Agilent"
"C_410","Solid tumor","Agilent","Solid tumor_Agilent"
"C_411","Solid tumor","Agilent","Solid tumor_Agilent"
"C_412","Solid tumor","Agilent","Solid tumor_Agilent"
"C_413","Solid tumor","Agilent","Solid tumor_Agilent"
"C_414","Solid tumor","Agilent","Solid tumor_Agilent"
"C_415","Solid tumor","Agilent","Solid tumor_Agilent"
"C_416","Solid tumor","Agilent","Solid tumor_Agilent"
"C_417","Solid tumor","Agilent","Solid tumor_Agilent"
"C_418","Solid tumor","Agilent","Solid tumor_Agilent"
"C_419","Solid tumor","Agilent","Solid tumor_Agilent"
"C_420","Solid tumor","Agilent","Solid tumor_Agilent"
"C_421","Solid tumor","Agilent","Solid tumor_Agilent"
"C_422","Solid tumor","Agilent","Solid tumor_Agilent"
"C_423","Solid tumor","Agilent","Solid tumor_Agilent"
"C_424","Solid tumor","Agilent","Solid tumor_Agilent"
"C_425","Solid tumor","Agilent","Solid tumor_Agilent"
"C_426","Solid tumor","Agilent","Solid tumor_Agilent"
"C_427","Solid tumor","Agilent","Solid tumor_Agilent"
"C_428","Solid tumor","Agilent","Solid tumor_Agilent"
"C_429","Solid tumor","Agilent","Solid tumor_Agilent"
"C_430","Solid tumor","Agilent","Solid tumor_Agilent"
"C_431","Solid tumor","Agilent","Solid tumor_Agilent"
"C_432","Solid tumor","Agilent","Solid tumor_Agilent"
"C_433","Solid tumor","Agilent","Solid tumor_Agilent"
"C_434","Solid tumor","Agilent","Solid tumor_Agilent"
"C_435","Solid tumor","Agilent","Solid tumor_Agilent"
"C_436","Solid tumor","Agilent","Solid tumor_Agilent"
"C_437","Solid tumor","Agilent","Solid tumor_Agilent"
"C_438","Solid tumor","Agilent","Solid tumor_Agilent"
"C_439","Solid tumor","Agilent","Solid tumor_Agilent"
"C_440","Solid tumor","Agilent","Solid tumor_Agilent"
"C_441","Solid tumor","Agilent","Solid tumor_Agilent"
"C_442","Solid tumor","Agilent","Solid tumor_Agilent"
"C_443","Solid tumor","Agilent","Solid tumor_Agilent"
"C_444","Solid tumor","Agilent","Solid tumor_Agilent"
"C_445","Solid tumor","Agilent","Solid tumor_Agilent"
"C_446","Solid tumor","Agilent","Solid tumor_Agilent"
"C_447","Solid tumor","Agilent","Solid tumor_Agilent"
"C_448","Solid tumor","Agilent","Solid tumor_Agilent"
"C_449","Solid tumor","Agilent","Solid tumor_Agilent"
"C_450","Solid tumor","Agilent","Solid tumor_Agilent"
"C_451","Solid tumor","Agilent","Solid tumor_Agilent"
"C_452","Solid tumor","Agilent","Solid tumor_Agilent"
"C_453","Solid tumor","Agilent","Solid tumor_Agilent"
"C_454","Solid tumor","Agilent","Solid tumor_Agilent"
"C_455","Solid tumor","Agilent","Solid tumor_Agilent"
"C_456","Solid tumor","Agilent","Solid tumor_Agilent"
"C_457","Solid tumor","Agilent","Solid tumor_Agilent"
"C_458","Solid tumor","Agilent","Solid tumor_Agilent"
"C_459","Solid tumor","Agilent","Solid tumor_Agilent"
"C_460","Solid tumor","Agilent","Solid tumor_Agilent"
"C_461","Solid tumor","Agilent","Solid tumor_Agilent"
"C_462","Solid tumor","Agilent","Solid tumor_Agilent"
"C_463","Solid tumor","Agilent","Solid tumor_Agilent"
"C_464","Solid tumor","Agilent","Solid tumor_Agilent"
